Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2005","2005","%","","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2005","2005","%","3.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2006","2006","%","27.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2006","2006","%","10.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2006","2006","%","3.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2007","2007","%","27.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2007","2007","%","","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2007","2007","%","3.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2008","2008","%","26.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2008","2008","%","","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2008","2008","%","3.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2009","2009","%","25.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2009","2009","%","","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2009","2009","%","3.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2010","2010","%","25.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2010","2010","%","","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2010","2010","%","3.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2011","2011","%","24.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2011","2011","%","","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2011","2011","%","3.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2012","2012","%","23.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2012","2012","%","5.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2012","2012","%","3.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2013","2013","%","23.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2013","2013","%","","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2013","2013","%","3.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2014","2014","%","22.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2014","2014","%","","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2014","2014","%","3.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2015","2015","%","22.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2015","2015","%","","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2015","2015","%","3.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2016","2016","%","21.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2016","2016","%","","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2016","2016","%","3.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2017","2017","%","21.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2017","2017","%","3.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2017","2017","%","3.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2018","2018","%","21.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2018","2018","%","","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2018","2018","%","3.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2019","2019","%","20.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2019","2019","%","","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2019","2019","%","3.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2020","2020","%","20.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2020","2020","%","","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2020","2020","%","3.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2021","2021","%","19.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2021","2021","%","","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2021","2021","%","3.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2022","2022","%","19.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2022","2022","%","","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2022","2022","%","3.7","X","Figure from international organizations",""
