Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2016","2016","%","34","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2017","2017","%","66","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2017","2017","%","35","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2018","2018","%","66","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2018","2018","%","36","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2019","2019","%","66","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2019","2019","%","37","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2020","2020","%","67","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2020","2020","%","37","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2021","2021","%","67","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2021","2021","%","37","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2022","2022","%","67","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2022","2022","%","38","X","Figure from international organizations",""
